id,client_id,pipeline_id,rule_type,threshold,window_minutes,channel,destination,is_enabled,created_at,updated_at
41c7efca-11e3-5761-9c82-afea918a07c7,7c0f7b35-9f6a-4cc6-8d3a-8c9b8b1a7e12,708192a3-b4c5-402b-4c5d-6e7f8091a2b3,on_failure,,,slack,#data-alerts,true,2025-11-22T05:13:00Z,2025-12-18T05:13:00Z
903db8b4-fde1-5a44-a019-1cb869a68d5a,7c0f7b35-9f6a-4cc6-8d3a-8c9b8b1a7e12,5e6f7081-92a3-4e1f-2a3b-4c5d6e7f8091,failures_in_window,3,30,email,data-alerts@example.com,true,2026-01-24T02:08:00Z,2026-02-14T02:08:00Z
6ed26219-7cea-54d8-be00-ed27b9943513,c9b1d8a0-2b7c-4c2f-9b2e-7b8d0c1a2e34,d6e7f809-1a2b-4681-a2b3-c4d5e6f70819,on_failure,,,slack,#ops-oncall,true,2026-02-13T17:33:00Z,2026-02-21T17:33:00Z
fb8070a0-441a-5845-9040-ac9add8384b6,4e7a1b2c-0d9e-4a6f-8b1c-3e2d1c0b9a45,1a2b3c4d-5e6f-4aa5-e6f7-08192a3b4c5d,failures_in_window,7,20,email,oncall@example.com,true,2026-01-09T22:39:00Z,2026-01-15T22:39:00Z
25e28e92-d923-59e1-b03e-17db1c60aa41,6f5e4d3c-2b1a-4c9d-8e7f-0a1b2c3d4e01,,failures_in_window,4,10,slack,#etl-reliability,true,2025-12-14T15:07:00Z,2025-12-15T15:07:00Z
92018f73-f63c-5c40-97e1-c1377616b50b,ab12cd34-ef56-4789-9abc-def012345678,,on_failure,,,slack,#data-alerts,true,2025-12-20T10:27:00Z,2025-12-23T10:27:00Z
0130408c-f7b9-5c79-93cf-d1e9ebe41c1d,4e7a1b2c-0d9e-4a6f-8b1c-3e2d1c0b9a45,,failures_in_window,7,20,webhook,https://ops.example.internal/hooks/chm-data,false,2026-02-19T04:52:00Z,2026-02-21T23:00:00Z
0a8f8378-e3e6-576f-acbc-6fe4e91f4aa3,c9b1d8a0-2b7c-4c2f-9b2e-7b8d0c1a2e34,,on_failure,,,webhook,https://ops.example.internal/hooks/chm-reliability,true,2025-12-20T21:00:00Z,2026-01-11T21:00:00Z
424ee1db-a6b6-50db-970c-e325794f981c,3c2b1a0f-9e8d-4c7b-8a6f-5d4c3b2a1f89,2b3c4d5e-6f70-4bb6-f709-1a2b3c4d5e6f,failures_in_window,2,10,email,data-alerts@example.com,true,2025-11-07T13:41:00Z,2025-11-28T13:41:00Z
7ec92daa-f4b0-5e27-b8bd-0a77f41643a8,7c0f7b35-9f6a-4cc6-8d3a-8c9b8b1a7e12,6f708192-a3b4-4f2a-3b4c-5d6e7f8091a2,failures_in_window,2,15,email,oncall@example.com,true,2025-10-25T04:11:00Z,2025-11-14T04:11:00Z
7d27a986-c3b1-5937-809e-6745cc481ea2,9f3c2a1b-5d6e-4f7a-8b9c-1a2b3c4d5e56,4d5e6f70-8192-4dd8-192a-3b4c5d6e7f80,failures_in_window,5,30,webhook,https://ops.example.internal/hooks/chm-reliability,true,2026-01-09T16:27:00Z,2026-02-02T16:27:00Z
b8997e5e-f68a-539c-960c-6c6c79e36989,3c2b1a0f-9e8d-4c7b-8a6f-5d4c3b2a1f89,1a2b3c4d-5e6f-4aa5-e6f7-091a2b3c4d5e,on_failure,,,slack,#ops-oncall,true,2025-12-08T05:41:00Z,2025-12-16T05:41:00Z
bde5d894-a08c-5fdd-b4eb-02c42d0d0234,0a2d6d1e-4c3f-4d8a-9b0a-2d3b2f0a9c23,b4c5d6e7-f809-446f-8091-a2b3c4d5e6f7,failures_in_window,4,10,slack,#etl-reliability,true,2025-11-13T20:08:00Z,2025-11-25T20:08:00Z
3d2348d0-23fb-583c-8134-c94c53275492,c9b1d8a0-2b7c-4c2f-9b2e-7b8d0c1a2e34,d6e7f809-1a2b-4681-a2b3-c4d5e6f70819,failures_in_window,4,60,slack,#data-alerts,true,2025-11-11T08:11:00Z,2025-11-12T08:11:00Z
a07a75df-9b78-59d6-82b4-e95834b6ad78,2b5f2b7a-1c7d-4b4f-9d86-1f6d4c0f2c01,,on_failure,,,slack,#etl-reliability,true,2025-11-07T16:59:00Z,2025-11-20T16:59:00Z
415883bd-c55b-59e8-8248-1184ab4e69ad,0a2d6d1e-4c3f-4d8a-9b0a-2d3b2f0a9c23,,failures_in_window,4,20,webhook,https://ops.example.internal/hooks/chm-oncall,false,2026-02-21T10:17:00Z,2026-02-21T23:00:00Z
3d91effe-faa3-54f8-958c-257eb4c3647b,ab12cd34-ef56-4789-9abc-def012345678,92a3b4c5-d6e7-422d-7080-91a2b3c4d5e6,failures_in_window,2,20,email,platform-alerts@example.com,true,2026-02-16T19:42:00Z,2026-02-21T23:00:00Z
