entity_type,entity_id,entity_name,parent_entity_id,parent_entity_name,platform,pipeline_type,environment,is_active,created_at
pipeline,a3b4c5d6-e7f8-433e-8091-a2b3c4d5e6f7,Client Audits,ab12cd34-ef56-4789-9abc-def012345678,HarborPoint Consulting,custom,healthcheck,dev,false,2026-01-05T00:00:00Z
pipeline,92a3b4c5-d6e7-422d-7080-91a2b3c4d5e6,Finance Pack,ab12cd34-ef56-4789-9abc-def012345678,HarborPoint Consulting,dbt,transform,staging,false,2025-11-21T00:00:00Z
pipeline,708192a3-b4c5-402b-4c5d-6e7f8091a2b3,Backfills,7c0f7b35-9f6a-4cc6-8d3a-8c9b8b1a7e12,HelioFin Payments,custom,healthcheck,dev,true,2025-11-12T00:00:00Z
pipeline,4d5e6f70-8192-4d0e-1f2a-3b4c5d6e7f80,Card TX Ingest,7c0f7b35-9f6a-4cc6-8d3a-8c9b8b1a7e12,HelioFin Payments,vendor_api,ingestion,prod,true,2025-08-30T00:00:00Z
pipeline,6f708192-a3b4-4f2a-3b4c-5d6e7f8091a2,DQ Checks,7c0f7b35-9f6a-4cc6-8d3a-8c9b8b1a7e12,HelioFin Payments,custom,quality,staging,true,2025-10-01T00:00:00Z
pipeline,5e6f7081-92a3-4e1f-2a3b-4c5d6e7f8091,Risk Features,7c0f7b35-9f6a-4cc6-8d3a-8c9b8b1a7e12,HelioFin Payments,custom,transform,prod,true,2025-09-14T00:00:00Z
pipeline,091a2b3c-4d5e-4994-d5e6-f7091a2b3c4d,Claims Ingest,3c2b1a0f-9e8d-4c7b-8a6f-5d4c3b2a1f89,Ironclad Insurance Co.,vendor_api,ingestion,prod,true,2025-09-15T00:00:00Z
pipeline,2b3c4d5e-6f70-4bb6-f709-1a2b3c4d5e6f,DQ Policy,3c2b1a0f-9e8d-4c7b-8a6f-5d4c3b2a1f89,Ironclad Insurance Co.,custom,quality,prod,true,2025-12-22T00:00:00Z
pipeline,1a2b3c4d-5e6f-4aa5-e6f7-091a2b3c4d5e,Fraud Features,3c2b1a0f-9e8d-4c7b-8a6f-5d4c3b2a1f89,Ironclad Insurance Co.,custom,transform,staging,true,2025-11-07T00:00:00Z
pipeline,3c4d5e6f-7081-4cc7-1a2b-3c4d5e6f7080,Monthly Close,3c2b1a0f-9e8d-4c7b-8a6f-5d4c3b2a1f89,Ironclad Insurance Co.,airflow,healthcheck,prod,true,2026-02-21T00:00:00Z
pipeline,0f1e2d3c-4b5a-4978-8c9d-0e1f2a3b4c5d,Daily OPS Orchestrate,2b5f2b7a-1c7d-4b4f-9d86-1f6d4c0f2c01,Nordwind Logistics GmbH,airflow,healthcheck,prod,true,2025-08-27T00:00:00Z
pipeline,1a2b3c4d-5e6f-4a7b-8c9d-0e1f2a3b4c6e,Shipments Ingest,2b5f2b7a-1c7d-4b4f-9d86-1f6d4c0f2c01,Nordwind Logistics GmbH,vendor_api,ingestion,staging,true,2025-09-05T00:00:00Z
pipeline,3c4d5e6f-7081-4c9d-0e1f-2a3b4c5d6e7f,Telemetry Stream,2b5f2b7a-1c7d-4b4f-9d86-1f6d4c0f2c01,Nordwind Logistics GmbH,vendor_api,ingestion,dev,true,2025-10-09T00:00:00Z
pipeline,2b3c4d5e-6f70-4b8c-9d0e-1f2a3b4c5d6f,Warehouse Models,2b5f2b7a-1c7d-4b4f-9d86-1f6d4c0f2c01,Nordwind Logistics GmbH,dbt,transform,prod,true,2025-09-22T00:00:00Z
pipeline,b4c5d6e7-f809-444f-8091-a2b3c4d5e6f7,Audience Dash,1d2e3f4a-5b6c-4d7e-8f9a-0b1c2d3e4f67,Oakridge Media Network,custom,export,prod,true,2026-01-31T00:00:00Z
pipeline,92a3b4c5-d6e7-422d-6e7f-8091a2b3c4d5,Content Marts,1d2e3f4a-5b6c-4d7e-8f9a-0b1c2d3e4f67,Oakridge Media Network,dbt,transform,prod,true,2025-10-17T00:00:00Z
pipeline,a3b4c5d6-e7f8-433e-7f80-91a2b3c4d5e6,Publish Pipeline,1d2e3f4a-5b6c-4d7e-8f9a-0b1c2d3e4f67,Oakridge Media Network,airflow,export,staging,true,2025-12-08T00:00:00Z
pipeline,8192a3b4-c5d6-411c-5d6e-7f8091a2b3c4,Social Ingest,1d2e3f4a-5b6c-4d7e-8f9a-0b1c2d3e4f67,Oakridge Media Network,vendor_api,ingestion,prod,true,2025-09-11T00:00:00Z
pipeline,b4c5d6e7-f809-444f-91a2-b3c4d5e6f708,Procurement,6f5e4d3c-2b1a-4c9d-8e7f-0a1b2c3d4e01,PineWorks Construction,vendor_api,ingestion,staging,false,2025-12-29T00:00:00Z
pipeline,8192a3b4-c5d6-411c-6f70-8091a2b3c4d5,Site Reports,6f5e4d3c-2b1a-4c9d-8e7f-0a1b2c3d4e01,PineWorks Construction,airflow,healthcheck,prod,false,2025-10-14T00:00:00Z
pipeline,b4c5d6e7-f809-446f-8091-a2b3c4d5e6f7,ADS Ingest,0a2d6d1e-4c3f-4d8a-9b0a-2d3b2f0a9c23,Riverton Retail Group,vendor_api,ingestion,dev,true,2025-12-02T00:00:00Z
pipeline,a3b4c5d6-e7f8-435e-7f80-91a2b3c4d5e6,KPI Dashboards,0a2d6d1e-4c3f-4d8a-9b0a-2d3b2f0a9c23,Riverton Retail Group,custom,export,staging,true,2025-10-25T00:00:00Z
pipeline,92a3b4c5-d6e7-424d-6e7f-8091a2b3c4d5,Sales Marts,0a2d6d1e-4c3f-4d8a-9b0a-2d3b2f0a9c23,Riverton Retail Group,dbt,transform,prod,true,2025-09-29T00:00:00Z
pipeline,8192a3b4-c5d6-413c-5d6e-7f8091a2b3c4,Shopify Sync,0a2d6d1e-4c3f-4d8a-9b0a-2d3b2f0a9c23,Riverton Retail Group,vendor_api,ingestion,prod,true,2025-09-07T00:00:00Z
pipeline,708192a3-b4c5-400b-5e6f-708091a2b3c4,Airport Feeds,5e4d3c2b-1a0f-4b8c-9d7e-6f5a4b3c2d90,SilverLine Travel,custom,healthcheck,dev,false,2026-01-27T00:00:00Z
pipeline,4d5e6f70-8192-4dd8-2b3c-4d5e6f708091,Bookings Ingest,5e4d3c2b-1a0f-4b8c-9d7e-6f5a4b3c2d90,SilverLine Travel,vendor_api,ingestion,prod,true,2025-09-24T00:00:00Z
pipeline,6f708192-a3b4-4ffa-4d5e-6f708091a2b3,OPS Dash,5e4d3c2b-1a0f-4b8c-9d7e-6f5a4b3c2d90,SilverLine Travel,custom,export,staging,true,2025-12-15T00:00:00Z
pipeline,5e6f7081-92a3-4ee9-3c4d-5e6f708091a2,Revenue Marts,5e4d3c2b-1a0f-4b8c-9d7e-6f5a4b3c2d90,SilverLine Travel,dbt,transform,prod,true,2025-10-28T00:00:00Z
pipeline,708192a3-b4c5-400b-4c5d-6e7f8091a2b3,Grid Events,9f3c2a1b-5d6e-4f7a-8b9c-1a2b3c4d5e56,Skyline Energy Partners,vendor_api,ingestion,prod,true,2026-02-05T00:00:00Z
pipeline,5e6f7081-92a3-4ee9-2a3b-4c5d6e7f8091,Load Forecast Orchestrate,9f3c2a1b-5d6e-4f7a-8b9c-1a2b3c4d5e56,Skyline Energy Partners,airflow,healthcheck,prod,true,2025-09-25T00:00:00Z
pipeline,6f708192-a3b4-4ffa-3b4c-5d6e7f8091a2,Metering Marts,9f3c2a1b-5d6e-4f7a-8b9c-1a2b3c4d5e56,Skyline Energy Partners,dbt,transform,staging,true,2025-11-14T00:00:00Z
pipeline,4d5e6f70-8192-4dd8-192a-3b4c5d6e7f80,Scada Ingest,9f3c2a1b-5d6e-4f7a-8b9c-1a2b3c4d5e56,Skyline Energy Partners,vendor_api,ingestion,prod,true,2025-08-29T00:00:00Z
pipeline,f8091a2b-3c4d-4883-c4d5-e6f7091a2b3c,CRM Sync,8a7b6c5d-4e3f-4a2b-9c8d-7e6f5a4b3c78,VerdeMart E-Commerce,vendor_api,export,staging,true,2026-02-12T00:00:00Z
pipeline,d6e7f809-1a2b-4661-a2b3-c4d5e6f7091a,Customer360,8a7b6c5d-4e3f-4a2b-9c8d-7e6f5a4b3c78,VerdeMart E-Commerce,dbt,transform,prod,true,2025-10-04T00:00:00Z
pipeline,e7f8091a-2b3c-4772-b3c4-d5e6f7091a2b,Experiments,8a7b6c5d-4e3f-4a2b-9c8d-7e6f5a4b3c78,VerdeMart E-Commerce,custom,healthcheck,dev,true,2025-11-26T00:00:00Z
pipeline,c5d6e7f8-091a-4550-91a2-b3c4d5e6f709,Marketplace Ingest,8a7b6c5d-4e3f-4a2b-9c8d-7e6f5a4b3c78,VerdeMart E-Commerce,vendor_api,ingestion,prod,true,2025-08-31T00:00:00Z
